Date	App Name	App Apple Identifier	Event	Page Type	Page Title	Source Type	Source Info	Campaign	Engagement Type	Device	Platform Version	Territory	Counts	Unique Counts
2026-04-17	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 18.7	BR	5	5
2026-04-17	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	ES	16	10
2026-04-17	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	BR	6	6
2026-04-17	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 17.6	BR	7	7
2026-04-27	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	CO	9	6
2026-04-27	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	BR	12	10
2026-06-02	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	10	10
2026-06-02	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 18.6	BR	6	6
2026-06-02	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	ES	13	10
2026-04-30	BLW Baby Led Weaning Tracker	6758321287	Page view	Product page	Default product page	App Store search				iPhone	iOS 26.3	ES	7	7
2026-04-30	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	BR	8	8
2026-04-30	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 18.6	BR	6	6
2026-05-03	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	MX	6	6
2026-05-30	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	ES	8	7
2026-05-30	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.4	US	5	5
2026-05-30	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	10	7
2026-04-01	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	BR	12	5
2026-05-27	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	ES	8	5
2026-05-27	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	7	7
2026-02-28	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	ES	8	8
2026-05-20	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	BR	5	5
2026-05-20	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.4	BR	9	7
2026-05-20	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 18.7	BR	5	5
2026-06-24	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	US	19	10
2026-06-24	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	ES	6	6
2026-06-24	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	9	5
2026-06-19	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	7	7
2026-04-22	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.4	BR	5	5
2026-04-22	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	US	9	5
2026-04-22	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	BR	7	7
2026-04-22	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 18.7	BR	8	8
2026-06-25	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	10	10
2026-06-25	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	CO	7	7
