Apple Identifier,Begin Date,CMB,Category,Client,Country Code,Currency of Proceeds,Customer Currency,Customer Price,Developer,Developer Proceeds,Device,End Date,Order Type,Parent Identifier,Period,Preserved Pricing,Proceeds Reason,Product Type Identifier,Promo Code,Provider,Provider Country,SKU,Subscription,Supported Platforms,Title,Units,Version,_report_date
6758321287,05/01/2026,,Health & Fitness, ,ES, ,EUR,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/01/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-05-01
6758321287,05/01/2026,,Health & Fitness, ,BR, ,BRL,0.00,Joao Victor Flores da Costa,0.00,iPhone,05/01/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-05-01
6758321287,04/30/2026,,Health & Fitness, ,BR, ,BRL,0.00,Joao Victor Flores da Costa,0.00,iPhone,04/30/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,2,1.0,2026-04-30
6758321287,04/30/2026,,Health & Fitness, ,ES, ,EUR,0.00,Joao Victor Flores da Costa,0.00,iPhone,04/30/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-04-30
6758321287,04/30/2026,,Health & Fitness, ,MX, ,MXN,0.00,Joao Victor Flores da Costa,0.00,iPhone,04/30/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-04-30
6758321287,04/30/2026,,Health & Fitness, ,CL, ,CLP,0.00,Joao Victor Flores da Costa,0.00,iPhone,04/30/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-04-30
6758321287,04/30/2026,,Health & Fitness, ,GT, ,USD,0.00,Joao Victor Flores da Costa,0.00,iPhone,04/30/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-04-30
6758321287,04/30/2026,,Health & Fitness, ,US, ,USD,0.00,Joao Victor Flores da Costa,0.00,iPhone,04/30/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,2,1.0,2026-04-30
6758321287,04/29/2026,,Health & Fitness, ,ES, ,EUR,0.00,Joao Victor Flores da Costa,0.00,iPhone,04/29/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,4,1.0,2026-04-29
6758321287,04/29/2026,,Health & Fitness, ,DO, ,USD,0.00,Joao Victor Flores da Costa,0.00,iPhone,04/29/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,2,1.0,2026-04-29
6758321287,04/29/2026,,Health & Fitness, ,CL, ,CLP,0.00,Joao Victor Flores da Costa,0.00,iPhone,04/29/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-04-29
6758321287,04/28/2026,,Health & Fitness, ,DO, ,USD,0.00,Joao Victor Flores da Costa,0.00,iPhone,04/28/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-04-28
6758321287,04/27/2026,,Health & Fitness, ,BR, ,BRL,0.00,Joao Victor Flores da Costa,0.00,iPhone,04/27/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,3,1.0,2026-04-27
